E4 | C: 1.0 | Highest Tile Sum: 1504, Avg: 75.2
E5 | C: 1.25 | Highest Tile Sum: 1600, Avg: 80.0
E6 | C: 1.5 | Highest Tile Sum: 1152, Avg: 57.6
E7 | C: 1.75 | Highest Tile Sum: 1216, Avg: 60.8
E8 | C: 2.0 | Highest Tile Sum: 1536, Avg: 76.8
E9 | C: 2.25 | Highest Tile Sum: 1536, Avg: 76.8
E10 | C: 2.5 | Highest Tile Sum: 1184, Avg: 59.2
E11 | C: 2.75 | Highest Tile Sum: 1408, Avg: 70.4
E12 | C: 3.0 | Highest Tile Sum: 1376, Avg: 68.8
E13 | C: 3.25 | Highest Tile Sum: 1216, Avg: 60.8
E14 | C: 3.5 | Highest Tile Sum: 1344, Avg: 67.2
E15 | C: 3.75 | Highest Tile Sum: 1120, Avg: 56.0
E16 | C: 4.0 | Highest Tile Sum: 1216, Avg: 60.8
