Depth,1,2,3,4,,1,2,3,4,,1,2,3,4
,2640,2756,71596,23312,,256,256,4096,2048,,0.0022254999494180083,0.0033275000751018524,0.10703099996317178,0.08036529994569719
,2720,952,34356,56424,,256,64,2048,4096,,0.002244999981485307,0.0015218999469652772,0.05610729998443276,0.15298729995265603
,976,1640,16356,24448,,64,128,1024,2048,,0.0012763000559061766,0.0021959999576210976,0.03128290001768619,0.06912809994537383
,2712,3016,60140,15076,,256,256,4096,1024,,0.002876000013202429,0.0033358000218868256,0.10130590002518147,0.04772440006490797
,2416,728,16396,32924,,256,64,1024,2048,,0.002209500060416758,0.0015515999402850866,0.04351670003961772,0.08850109996274114
,1636,3180,28540,16160,,128,256,2048,1024,,0.002161799930036068,0.003800900070928037,0.09818689990788698,0.05359839997254312
,1892,7952,36232,3296,,128,512,2048,256,,0.0019208999583497643,0.007144799921661615,0.08322759997099638,0.014457400073297322
,1564,1396,32644,15952,,128,128,2048,1024,,0.0018170999828726053,0.0019000000320374966,0.06198920006863773,0.05400839995127171
,2564,1752,21536,58836,,256,128,2048,4096,,0.0024214000441133976,0.0023975999793037772,0.034603800042532384,0.14297559997066855
,1460,1704,15300,67716,,64,128,1024,4096,,0.0018401999259367585,0.0028152000159025192,0.02812839997932315,0.15995359991211444
,1740,5276,16168,28776,,128,256,1024,2048,,0.0020894999615848064,0.005571600049734116,0.03103950002696365,0.07855490001384169
,2300,3156,76756,47560,,128,256,4096,4096,,0.002327800029888749,0.003545599989593029,0.11926440009847283,0.11257040000054985
,1784,4088,11452,35304,,128,256,1024,2048,,0.0022302999859675765,0.004749699961394072,0.02402989997062832,0.0964436000213027
,2612,1860,17096,57124,,256,128,1024,4096,,0.0024244999513030052,0.002442199969664216,0.03809360007289797,0.13929910003207624
,1076,3076,30360,21084,,128,256,2048,2048,,0.0013879000907763839,0.0033684000372886658,0.05302700004540384,0.05312599998433143
,3228,3108,36108,31884,,256,256,2048,2048,,0.0028718000976368785,0.003507699933834374,0.06636279996018857,0.08860659995116293
,2660,5368,14424,16488,,256,256,1024,1024,,0.00256459997035563,0.0055695000337436795,0.02935510000679642,0.0550373001024127
,6044,4884,34256,35848,,512,512,2048,2048,,0.004920699982903898,0.004720799974165857,0.057382000028155744,0.0995773000176996
,2732,2328,36172,13952,,256,128,2048,1024,,0.0026476000202819705,0.0029036999912932515,0.06071699992753565,0.04445730010047555
,5832,920,32368,55412,,512,64,2048,4096,,0.004456799943000078,0.0015486000338569283,0.05405609996523708,0.1365336999297142
,2572,640,36324,51352,,256,64,2048,4096,,0.002340200007893145,0.0011100999545305967,0.060860699974000454,0.12377119995653629
,2428,1104,11904,79848,,256,64,1024,4096,,0.002323299995623529,0.0016798999859020114,0.02412489999551326,0.1944381999783218
,2208,1136,60632,60816,,256,64,4096,4096,,0.002051800023764372,0.0018071000231429935,0.09476610005367547,0.17238939995877445
,3556,2716,32564,35124,,256,128,2048,2048,,0.0034913000417873263,0.003361100098118186,0.05504340003244579,0.10045270004775375
,6936,1080,2900,34984,,512,64,256,2048,,0.00523589993827045,0.0018631999846547842,0.00786740006878972,0.0950275999493897
,2704,3236,35588,16004,,256,256,2048,1024,,0.0025216001085937023,0.0037039999151602387,0.061259199981577694,0.053643699968233705
,3428,5088,35432,36692,,256,512,2048,2048,,0.0032377000898122787,0.004678600002080202,0.06020229996647686,0.09919959993567318
,5020,3232,18324,27520,,512,256,1024,2048,,0.0035112000769004226,0.003586999955587089,0.032899799989536405,0.08007670007646084
,4972,4156,35708,36472,,512,256,2048,2048,,0.0037974000442773104,0.004465400008484721,0.05978580005466938,0.10337439994327724
,696,2120,60408,16468,,64,128,4096,1024,,0.0010015000589191914,0.002735599991865456,0.0872022999683395,0.05471830000169575
,3488,3268,32184,4508,,256,256,2048,256,,0.0029341999907046556,0.003740799962542951,0.05227870005182922,0.018451599986292422
,5216,2652,32300,26828,,512,256,2048,2048,,0.004280599998310208,0.002874600002542138,0.051385900005698204,0.07595109997782856
,2852,7172,60336,31468,,256,512,4096,2048,,0.002808299963362515,0.006583999958820641,0.08428229996934533,0.08839199994690716
,2368,3380,60676,32444,,256,256,4096,2048,,0.002202600007876754,0.0035642998991534114,0.08842019992880523,0.09395639994181693
,2732,4872,32104,30416,,256,256,2048,2048,,0.0023341000778600574,0.004949100082740188,0.05146770004648715,0.08593379997182637
,4772,3848,32548,32028,,512,256,2048,2048,,0.003476100042462349,0.004063199972733855,0.05270070000551641,0.08897550008259714
,3236,1440,32868,27412,,256,128,2048,2048,,0.0028955999296158552,0.002199399983510375,0.053431599983014166,0.0791009000968188
,2236,7036,35356,16408,,256,512,2048,1024,,0.002099200035445392,0.006489800056442618,0.059328299947082996,0.05537910002749413
,3900,1040,9816,27356,,256,128,1024,2048,,0.0035519000375643373,0.0015267999842762947,0.018277399940416217,0.07909510005265474
,3916,5208,15572,31620,,256,512,1024,2048,,0.0035764999920502305,0.004698000033386052,0.028917399933561683,0.08445779990870506
,5404,2524,15376,13480,,512,256,1024,1024,,0.004065999994054437,0.002901800093241036,0.028743699891492724,0.042155500035732985
,3184,5736,13620,15652,,256,512,1024,1024,,0.0028870999813079834,0.005477900034748018,0.026234299992211163,0.05201510002370924
,2996,3188,27400,52464,,256,256,2048,4096,,0.0027598999440670013,0.0034545999951660633,0.048910000012256205,0.12538729992229491
,2176,1876,32516,34392,,128,128,2048,2048,,0.0022043000208213925,0.0024018000112846494,0.06200629996601492,0.09408820001408458
